                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.0045,                 1.4682,                 1.3213,                0.60324,                0.49102,                0.52923,                0.24557,                 1.8785,                 1.3115,                 1.2344,               0.008878,               0.008878,               0.008878
                     36,                 2.0143,                  1.465,                 1.3145,                0.57769,                0.46496,                0.48924,                0.22104,                 1.9305,                 1.3892,                 1.2611,               0.008845,               0.008845,               0.008845
                     37,                 2.0063,                  1.457,                 1.3079,                0.61096,                0.51617,                0.53988,                0.24461,                 1.8893,                 1.2976,                 1.2295,               0.008812,               0.008812,               0.008812
                     38,                 2.0002,                 1.4452,                 1.3019,                0.61055,                0.48158,                 0.5224,                0.23882,                 1.8895,                 1.3255,                  1.237,               0.008779,               0.008779,               0.008779
                     39,                 1.9909,                 1.4381,                 1.2967,                0.58235,                0.44699,                0.48621,                0.22171,                 1.9311,                 1.3993,                 1.2704,               0.008746,               0.008746,               0.008746
                     40,                  1.998,                 1.4506,                 1.3055,                0.61541,                0.47844,                0.53681,                0.25114,                 1.8497,                 1.3095,                  1.222,               0.008713,               0.008713,               0.008713
                     41,                 1.9666,                 1.4215,                 1.3002,                0.59684,                0.52022,                0.54174,                0.25048,                 1.8637,                 1.2902,                 1.2229,                0.00868,                0.00868,                0.00868
                     42,                 1.9647,                 1.4072,                 1.2954,                 0.6224,                0.50575,                0.53936,                0.25016,                 1.8692,                 1.2961,                 1.2275,               0.008647,               0.008647,               0.008647
                     43,                 1.9603,                 1.4018,                 1.2882,                0.62105,                0.52715,                0.56169,                0.26007,                 1.8461,                 1.2687,                 1.2068,               0.008614,               0.008614,               0.008614
                     44,                 1.9382,                 1.3708,                 1.2792,                0.63207,                0.49865,                0.54732,                0.26001,                 1.8475,                 1.2628,                  1.214,               0.008581,               0.008581,               0.008581
                     45,                 1.9444,                 1.3765,                  1.281,                 0.6346,                0.52246,                0.55958,                0.26382,                 1.8312,                  1.239,                  1.207,               0.008548,               0.008548,               0.008548
                     46,                 1.9387,                 1.3749,                  1.271,                0.66011,                0.51438,                0.57192,                0.27056,                 1.8359,                 1.2168,                 1.2025,               0.008515,               0.008515,               0.008515
                     47,                 1.9098,                 1.3325,                 1.2616,                0.65638,                0.49371,                0.54786,                0.26354,                 1.8243,                 1.2673,                 1.2051,               0.008482,               0.008482,               0.008482
                     48,                 1.9205,                 1.3436,                 1.2588,                0.63256,                0.53414,                0.57442,                0.27398,                 1.8128,                 1.2172,                 1.1973,               0.008449,               0.008449,               0.008449
                     49,                  1.927,                 1.3415,                 1.2623,                0.66337,                0.54002,                0.60028,                0.29163,                 1.7881,                 1.1793,                 1.1826,               0.008416,               0.008416,               0.008416
                     50,                 1.9059,                 1.3425,                  1.259,                0.65232,                0.53863,                0.58452,                0.27825,                 1.7985,                  1.231,                 1.1872,               0.008383,               0.008383,               0.008383
